d_amplitudeForeHip d_amplitudeHindHip d_offsetForeHip d_offsetHindHip d_amplitudeForeKnee d_amplitudeHindKnee d_offsetKnee d_kneePhaseLag d_frequency d_duration distance angle stability
0.45 0.45 0.0667 -0.0667 0.6133 0.4267 0.2 0.8 2 1.41 0.22611 0.171518 448.519 
0.45 0.45 0.0667 -0.0667 0.6133 0.4067 0.2 0.8 2 1.324 0.0808855 0.171903 433.683 
0.45 0.45 0.0667 -0.0667 0.6133 0.3867 0.2 0.8 2 1.482 0.0680921 0.169081 449.455 
0.45 0.45 0.0667 -0.0667 0.6133 0.3667 0.2 0.8 2 1.318 0.083519 0.169766 420.954 
0.45 0.45 0.0667 -0.0667 0.6133 0.3467 0.2 0.8 2 1.138 0.0331974 0.167477 410.599 
0.45 0.45 0.0667 -0.0667 0.6133 0.3267 0.2 0.8 2 1.896 0.246344 0.171999 418.615 
0.45 0.45 0.0667 -0.0667 0.6133 0.3067 0.2 0.8 2 1.484 0 0.17118 406.763 
0.45 0.45 0.0667 -0.0667 0.6133 0.2867 0.2 0.8 2 4.468 0.0517318 0.166364 469.35 
0.45 0.45 0.0667 -0.0667 0.6133 0.2667 0.2 0.8 2 15 1.26977 0.862627 496.15 
0.45 0.45 0.0667 -0.0667 0.6133 0.2467 0.2 0.8 2 7.384 0.384808 0.172512 478.789 
0.45 0.45 0.0667 -0.0667 0.6133 0.2267 0.2 0.8 2 15 1.15025 0.874412 496.157 
0.45 0.45 0.0667 -0.0667 0.6133 0.2067 0.2 0.8 2 2.266 0.155325 0.171426 422.515 
0.45 0.45 0.0667 -0.0667 0.6133 0.1867 0.2 0.8 2 15 1.08194 0.893291 495.704 
0.45 0.45 0.0667 -0.0667 0.6133 0.1667 0.2 0.8 2 3.164 0.275025 0.163974 456.881 
0.45 0.45 0.0667 -0.0667 0.5933 0.5467 0.2 0.8 2 15 2.60403 0.960266 497.451 
0.45 0.45 0.0667 -0.0667 0.5933 0.5267 0.2 0.8 2 4.334 0.395719 0.168306 464.976 
0.45 0.45 0.0667 -0.0667 0.5933 0.5067 0.2 0.8 2 15 2.60945 0.960876 497.624 
0.45 0.45 0.0667 -0.0667 0.5933 0.4867 0.2 0.8 2 15 2.35712 0.952538 497.176 
0.45 0.45 0.0667 -0.0667 0.5933 0.4667 0.2 0.8 2 15 2.32168 0.954928 497.058 
0.45 0.45 0.0667 -0.0667 0.5933 0.4467 0.2 0.8 2 3.734 0.320858 0.167726 458.036 
0.45 0.45 0.0667 -0.0667 0.5933 0.4267 0.2 0.8 2 15 1.77738 0.651547 492.882 
0.45 0.45 0.0667 -0.0667 0.5933 0.4067 0.2 0.8 2 2.03 0.280539 0.165885 434.307 
0.45 0.45 0.0667 -0.0667 0.5933 0.3867 0.2 0.8 2 1.332 0.0890388 0.171746 434.303 
0.45 0.45 0.0667 -0.0667 0.5933 0.3667 0.2 0.8 2 15 1.72474 0.768631 492.57 
0.45 0.45 0.0667 -0.0667 0.5933 0.3467 0.2 0.8 2 2.032 0.273268 0.171346 418.901 
